City,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness,Wind Speed,Country,Date
Santiago de Cao,-7.96,-79.24,61.83,81,91,9.48,PE,1600351072
Sinop Province,41.77,34.87,77.0,73,98,10.29,TR,1600351054
Carnarvon,-24.87,113.63,68.0,56,0,10.29,AU,1600351076
Tuatapere,-46.13,167.68,39.0,88,54,8.99,NZ,1600351077
Svolvær,68.23,14.57,50.0,76,75,11.41,NO,1600351085
Kūstī,13.16,32.66,94.75,33,11,1.74,SD,1600351086
Fes,34.04,-5.0,93.2,24,75,5.82,MA,1600351088
Asău,46.43,26.4,86.0,28,70,5.82,RO,1600351089
Alice Springs,-23.7,133.88,75.0,56,12,5.82,AU,1600351003
Sijunjung,-0.69,100.95,73.89,89,99,1.88,ID,1600351091
Sambava,-14.27,50.17,75.11,71,30,13.13,MG,1600351093
Mackenzie,55.3,-123.17,39.2,100,90,3.36,CA,1600351094
Cayenne,4.93,-52.33,86.0,66,84,8.05,GF,1600351096
Saldanha,-33.01,17.94,68.0,56,6,4.7,ZA,1600351097
Angoche,-16.23,39.91,79.16,70,83,13.82,MZ,1600351099
Barrow,71.29,-156.79,42.8,87,75,5.82,US,1600351100
Corinth,37.94,22.96,82.0,48,3,8.99,GR,1600351101
Cape Coast,5.11,-1.25,78.8,78,7,13.82,GH,1600351102
Chui,-33.7,-53.46,62.02,69,1,5.41,UY,1600351104
Oleggio,45.6,8.64,89.01,37,0,4.7,IT,1600351105
General Roca,-39.03,-67.58,59.0,44,100,9.17,AR,1600351106
Tākestān,36.07,49.7,86.0,23,20,2.24,IR,1600351107
Dwārka,22.24,68.97,84.06,75,49,10.98,IN,1600351109
Dubbo,-32.25,148.62,60.8,77,75,8.05,AU,1600351110
Vysokogornyy,50.12,139.15,49.66,92,8,1.28,RU,1600351111
Moose Factory,51.26,-80.61,39.2,55,1,17.22,CA,1600351112
Jalu,29.03,21.55,100.76,18,0,8.1,LY,1600351114
Codrington,-38.27,141.97,46.2,78,100,10.94,AU,1600351115
São João da Barra,-21.64,-41.05,82.4,54,0,11.41,BR,1600351116
Bairiki Village,1.33,172.98,82.4,69,40,10.29,KI,1600351117
Santiago del Estero,-27.8,-64.26,76.57,31,0,7.27,AR,1600351118
Laguna,38.42,-121.42,63.0,93,90,6.93,US,1600351120
Zarumilla,-3.5,-80.27,76.75,67,84,4.97,PE,1600351121
Kununurra,-15.77,128.73,77.0,69,40,4.7,AU,1600351105
Kosh-Agach,50.0,88.67,51.15,45,100,4.43,RU,1600351123
Noyabrsk,63.2,75.45,48.7,83,100,13.35,RU,1600351125
Sur,22.57,59.53,85.05,63,13,3.91,OM,1600351126
Puerto Ayora,-0.74,-90.35,64.99,93,100,7.0,EC,1600351127
Kavieng,-2.57,150.8,82.33,81,51,11.14,PG,1600351130
Necochea,-38.55,-58.74,66.0,52,58,13.0,AR,1600351019
Longyearbyen,78.22,15.64,35.6,69,75,4.7,SJ,1600351132
Ouallam,14.32,2.09,85.69,57,100,7.76,NE,1600351133
Lubao,14.92,120.55,80.6,88,75,6.93,PH,1600351134
Hithadhoo,-0.6,73.08,82.96,77,94,12.08,MV,1600351136
Rafaela,-31.25,-61.49,71.01,25,0,3.0,AR,1600351137
Salinópolis,-0.61,-47.36,84.94,67,58,13.18,BR,1600350963
Natá,8.33,-80.52,80.6,88,20,5.86,PA,1600351139
Husavik,66.04,-17.34,55.4,54,75,12.75,IS,1600351140
Mezen',65.85,44.24,44.94,70,100,5.95,RU,1600351143
Kodinsk,58.69,99.18,52.52,67,99,5.57,RU,1600351144
Thayetmyo,19.32,95.18,81.09,84,76,3.4,MM,1600351145
Toro,4.61,-76.08,66.2,93,75,1.63,CO,1600351146
Abaeté,-19.16,-45.45,86.45,29,0,5.91,BR,1600351148
Florianópolis,-27.61,-48.5,72.0,88,40,2.24,BR,1600350956
Abancay,-13.63,-72.88,64.47,45,41,5.12,PE,1600351150
Olinda,-8.01,-34.86,82.4,65,40,13.87,BR,1600351151
Lubango,-14.92,13.49,80.44,21,79,8.32,AO,1600351152
Neftegorsk,52.8,51.17,54.84,58,100,6.49,RU,1600351154
Esperance,-33.87,121.9,48.2,100,75,9.17,AU,1600351155
Oistins,13.07,-59.53,87.8,66,20,4.7,BB,1600351156
Nayoro,44.35,142.46,63.84,92,100,2.93,JP,1600351157
Norman Wells,65.28,-126.83,37.4,100,75,4.7,CA,1600351159
Coahuayana Viejo,18.73,-103.68,71.6,78,75,2.95,MX,1600351160
Bambous Virieux,-20.34,57.76,73.4,64,75,11.41,MU,1600351161
Graaff-Reinet,-32.25,24.53,73.99,29,0,7.0,ZA,1600351162
Merauke,-8.47,140.33,79.25,84,100,11.16,ID,1600350906
Laas,46.62,10.7,77.0,56,40,8.05,IT,1600351165
Katsuura,35.13,140.3,81.0,88,75,11.41,JP,1600351166
Jos,9.92,8.9,74.97,78,77,3.47,NG,1600351168
Praia,14.92,-23.51,83.3,71,37,6.89,CV,1600351170
Egvekinot,66.32,-179.17,36.77,89,100,13.44,RU,1600351171
Santa Rosa de Osos,6.65,-75.46,66.2,82,75,2.24,CO,1600351172
Dickinson,29.46,-95.05,81.0,78,90,6.93,US,1600351173
Banda Aceh,5.56,95.32,81.43,75,79,14.52,ID,1600351175
Tautira,-17.73,-149.15,75.2,83,20,2.24,PF,1600351176
Bredasdorp,-34.53,20.04,66.2,55,0,5.82,ZA,1600351177
Mount Gambier,-37.83,140.77,50.0,76,100,14.99,AU,1600351178
Tadine,-21.55,167.88,68.58,90,6,8.43,NC,1600351179
São José da Coroa Grande,-8.9,-35.15,79.48,64,14,11.27,BR,1600351181
Ostrovnoy,68.05,39.51,46.72,68,0,2.35,RU,1600351182
Mossamedes,-15.2,12.15,70.03,61,0,11.61,AO,1600351183
Henties Bay,-22.12,14.28,57.0,82,0,5.99,NA,1600351184
Cidreira,-30.18,-50.21,63.77,89,86,5.35,BR,1600351150
Rodrigues Alves,-7.74,-72.65,87.98,51,18,3.0,BR,1600351187
Sitka,57.05,-135.33,48.2,87,1,1.36,US,1600351188
Piaçabuçu,-10.41,-36.43,80.37,58,68,9.48,BR,1600351189
San Quintín,30.48,-115.95,77.49,44,0,7.54,MX,1600351190
Khatanga,71.97,102.5,48.9,79,7,4.43,RU,1600351192
Tahe,52.33,124.73,48.45,94,100,10.07,CN,1600351039
Kakonko,-3.28,30.96,90.5,22,68,5.32,TZ,1600351195
Mehamn,71.04,27.85,48.2,61,75,18.34,NO,1600351196
Souillac,-20.52,57.52,73.4,64,75,11.41,MU,1600351198
Deogarh,21.53,84.73,83.37,78,75,2.48,IN,1600351199
Zambezi,-13.54,23.1,88.97,32,45,10.69,ZM,1600351200
Puerto Escondido,15.85,-97.07,75.2,78,75,5.82,MX,1600351204
Alofi,-19.06,-169.92,71.6,94,100,16.11,NU,1600351209
Sawtell,-30.38,153.1,60.8,82,38,2.24,AU,1600351212
Westport,41.14,-73.36,68.0,77,1,5.82,US,1600351214
Derzhavīnsk,51.1,66.32,53.67,69,89,17.87,KZ,1600351215
Lashio,22.93,97.75,70.14,98,100,1.41,MM,1600351217
Trofors,65.53,13.41,48.2,70,75,5.82,NO,1600351218
Tongliao,43.61,122.27,54.97,68,0,12.86,CN,1600351059
Vanderhoof,54.02,-124.02,48.16,91,19,1.54,CA,1600351221
Peto,20.13,-88.92,79.95,91,98,4.59,MX,1600351223
Vila Franca do Campo,37.72,-25.43,71.6,53,20,11.41,PT,1600351224
Khovd,48.01,91.64,57.63,36,0,0.63,MN,1600351226
Port Hardy,50.7,-127.42,55.4,100,90,2.24,CA,1600351227
Zahir Pir,28.81,70.52,98.01,32,34,9.51,PK,1600351229
Eenhana,-17.47,16.33,98.6,7,0,3.36,NA,1600351230
Lüderitz,-26.65,15.16,67.93,47,13,16.78,NA,1600351232
Yarmouth,41.71,-70.23,71.01,73,1,10.29,US,1600351022
Fortuna,40.6,-124.16,64.0,100,90,5.82,US,1600351063
Portland,45.52,-122.68,57.99,93,90,2.24,US,1600350956
Gumdag,39.21,54.59,78.39,17,0,5.91,TM,1600351238
Bulungu,-4.55,18.6,74.37,87,100,5.06,CD,1600351239
Guerrero Negro,27.98,-114.06,75.81,60,24,2.13,MX,1600351240
Lensk,60.73,114.93,45.59,74,0,1.5,RU,1600351242
Cherskiy,68.75,161.3,36.72,92,100,6.82,RU,1600351243
Mareeba,-17.0,145.43,75.2,83,90,9.17,AU,1600351244
Genhe,50.78,121.52,47.17,93,100,5.44,CN,1600351246
Roebourne,-20.78,117.13,75.79,50,0,9.95,AU,1600351247
Blagoyevo,63.37,47.92,45.75,67,100,2.93,RU,1600351248
Ahipara,-35.17,173.17,57.38,78,100,11.3,NZ,1600351250
Vao,-22.67,167.48,70.68,84,1,14.85,NC,1600351251
Hobyo,5.35,48.53,79.54,76,0,27.56,SO,1600351252
Itacoatiara,-3.14,-58.44,98.74,39,29,1.66,BR,1600351105
Avanigadda,16.02,80.92,87.8,79,75,3.36,IN,1600351120
Pierre,44.37,-100.35,53.01,81,1,10.29,US,1600351256
King City,36.21,-121.13,55.99,63,15,1.99,US,1600351257
Panzhihua,26.59,101.71,64.0,78,100,3.49,CN,1600351258
Praia da Vitória,38.73,-27.07,71.6,68,40,9.75,PT,1600351259
Saint-François,46.42,3.91,90.0,27,0,14.99,FR,1600351261
Gēdo,9.02,37.45,61.25,97,88,2.73,ET,1600351262
Okhotsk,59.38,143.3,46.4,74,0,2.84,RU,1600351263
Saint George,37.1,-113.58,66.2,22,1,3.36,US,1600351213
Isangel,-19.55,169.27,72.66,86,33,9.44,VU,1600351266
Lubumbashi,-11.66,27.48,90.73,19,52,11.16,CD,1600351267
Hamadan,34.8,48.51,80.15,16,71,6.46,IR,1600351268
São Domingos do Maranhão,-5.58,-44.39,95.41,25,1,8.19,BR,1600351270
Haines Junction,60.75,-137.51,39.02,70,100,2.15,CA,1600351271
Torbay,47.67,-52.73,64.0,67,75,24.16,CA,1600351272
Bonavista,48.65,-53.11,60.85,70,100,24.87,CA,1600351273
La Sarre,48.8,-79.2,40.84,65,0,13.27,CA,1600351275
Broome,42.25,-75.83,60.01,87,75,5.82,US,1600351276
Hato,6.54,-73.31,69.8,83,20,9.17,CO,1600351277
Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,93,100,4.47,RU,1600351279
Port-Gentil,-0.72,8.78,86.0,62,75,14.61,GA,1600351280
Narsaq,60.92,-46.05,42.8,73,75,4.7,GL,1600351182
Batagay,67.63,134.63,39.99,78,38,2.57,RU,1600351282
Sevlievo,43.03,25.11,84.0,39,0,1.01,BG,1600351284
Sept-Îles,50.2,-66.38,48.0,61,75,14.99,CA,1600351276
Mogadouro,41.34,-6.71,75.0,54,100,11.99,PT,1600351286
Sioux Lookout,50.1,-91.92,37.4,74,20,4.7,CA,1600351162
Lompoc,34.64,-120.46,53.6,100,90,5.59,US,1600351273
Puerto Nariño,-3.77,-70.38,80.6,88,75,2.24,CO,1600351232
Maumere,-8.62,122.21,78.04,77,93,3.04,ID,1600351291
Margasari,-7.1,109.02,77.34,75,54,4.05,ID,1600351292
Salamiyah,35.01,37.05,95.54,15,0,19.98,SY,1600351293
Yamada,39.47,141.95,70.57,87,100,7.58,JP,1600351294
Sørland,67.67,12.69,50.0,76,75,23.04,NO,1600351296
Niquelândia,-14.47,-48.46,101.82,14,0,2.53,BR,1600351297
Jesup,31.61,-81.89,78.8,83,90,5.82,US,1600351298
Xining,36.62,101.77,52.81,44,0,2.42,CN,1600351301
Skjervøy,70.03,20.97,50.0,66,75,3.36,NO,1600351302
Kaka,37.35,59.61,73.38,32,0,9.78,TM,1600351303
Kendari,-3.94,122.5,75.99,91,0,3.06,ID,1600351304
Fairbanks,64.84,-147.72,46.99,81,90,9.17,US,1600351152
Pong,19.15,100.28,77.79,89,88,2.17,TH,1600351307
Hambantota,6.12,81.12,84.2,79,20,12.75,LK,1600351014
Ţaga,46.95,24.05,84.0,39,83,9.17,RO,1600351310
Russell,32.35,-85.2,71.6,94,90,4.14,US,1600351312
Tongren,27.72,109.19,61.0,87,84,2.98,CN,1600351313
Tiksi,71.69,128.87,48.52,75,100,16.11,RU,1600351315
Tura,25.52,90.22,74.95,93,100,3.29,IN,1600351035
Miercurea-Ciuc,46.35,25.8,76.48,41,73,5.55,RO,1600351318
Lhokseumawe,5.18,97.15,81.66,76,100,4.09,ID,1600351319
Owo,7.2,5.59,82.02,77,10,6.08,NG,1600351320
Amalāpuram,16.58,82.02,86.0,74,90,3.36,IN,1600351322
Dunedin,-45.87,170.5,41.0,74,0,4.0,NZ,1600351323
Pevek,69.7,170.31,34.75,88,88,11.12,RU,1600351324
Tarakan,3.3,117.63,82.8,70,97,7.99,ID,1600351262
Miles City,46.41,-105.84,42.8,81,1,4.7,US,1600351328
Nouadhibou,20.93,-17.03,80.37,65,31,15.99,MR,1600351329
Manta,-0.95,-80.73,73.4,83,75,10.29,EC,1600351330
Salcedo,12.81,121.47,78.04,85,100,11.01,PH,1600351333
Kalutara,6.58,79.96,82.4,83,40,9.17,LK,1600351334
Beloha,-25.17,45.05,80.64,41,0,11.61,MG,1600351335
Chapleau,47.84,-83.4,37.4,74,5,5.82,CA,1600351338
Abu Dhabi,24.47,54.37,100.4,39,0,11.41,AE,1600351098
Eilat,29.56,34.95,102.2,37,21,13.87,IL,1600351340
Cody,44.53,-109.06,50.0,46,1,4.9,US,1600351224
Manggar,-2.88,108.27,80.82,78,4,11.7,ID,1600351342
Ajdabiya,30.76,20.23,84.06,55,0,14.92,LY,1600351345
Sterling,39.01,-77.43,64.99,87,75,2.42,US,1600351065
Jacareacanga,-6.22,-57.75,84.2,70,10,2.24,BR,1600351347
Caravelas,-17.71,-39.25,81.07,49,0,6.89,BR,1600351349
Eirunepé,-6.66,-69.87,90.48,50,64,3.58,BR,1600351322
Kumul,42.8,93.45,73.29,19,0,4.5,CN,1600351351
Huangzhai,38.08,112.66,59.0,51,0,4.47,CN,1600351352
Beyneu,45.32,55.2,62.92,31,0,13.04,KZ,1600351353
Sadasivpet,17.62,77.95,78.8,94,90,4.7,IN,1600351355
Arenápolis,-14.45,-56.85,89.98,22,100,3.94,BR,1600351356
Kontagora,10.4,5.47,83.88,66,29,5.68,NG,1600351357
Hervey Bay,-25.3,152.85,64.0,86,20,1.01,AU,1600351359
Bengkulu,-3.8,102.27,77.56,85,9,6.22,ID,1600351360
Lavrentiya,65.58,-171.0,40.73,90,26,5.1,RU,1600351361
Arraial do Cabo,-22.97,-42.03,80.6,65,0,12.75,BR,1600351362
Chicama,-7.84,-79.15,66.47,68,59,6.64,PE,1600351364
Nanortalik,60.14,-45.24,39.97,75,99,2.53,GL,1600351365
Geraldton,-28.77,114.6,53.6,62,0,10.29,AU,1600351366
Viedma,-40.81,-63.0,68.0,33,92,11.99,AR,1600351369
Cantaura,9.31,-64.36,83.01,68,79,4.27,VE,1600351370
Kilkenny,52.65,-7.25,71.01,70,15,5.99,IE,1600351373
Saint-Leu,-21.15,55.28,75.2,57,19,5.82,RE,1600351375
Safaga,26.73,33.94,98.6,39,0,8.05,EG,1600351376
Aberdeen,57.14,-2.1,66.99,67,4,10.29,GB,1600351377
Devonport,-41.17,146.35,45.0,92,90,8.1,AU,1600351378
Tilichiki,60.47,166.1,39.27,88,49,6.13,RU,1600351380
Saint Anthony,45.02,-93.22,48.0,81,1,4.97,US,1600351381
Bako,5.78,36.57,81.3,45,26,1.5,ET,1600351382
Danshui,22.8,114.47,84.0,99,74,7.25,CN,1600351384
Sassandra,4.95,-6.08,76.32,83,100,9.31,CI,1600351385
Buta,2.79,24.73,87.42,57,100,1.32,CD,1600351386
Farsund,58.09,6.8,61.0,71,56,12.5,NO,1600351387
San Patricio,19.22,-104.7,79.81,78,74,2.98,MX,1600351390
Gamba,-2.65,10.0,77.97,77,41,10.65,GA,1600351391
Leningradskiy,69.38,178.42,33.64,94,100,16.28,RU,1600351392
Yafran,32.06,12.53,84.92,26,0,16.73,LY,1600351393
Umm Kaddadah,13.6,26.69,99.18,21,46,5.79,SD,1600351395
Prabumulih,-3.45,104.25,77.16,81,24,4.38,ID,1600351396
Juneau,58.3,-134.42,46.99,93,20,3.36,US,1600351198
Quryq,43.2,51.65,67.71,37,0,10.94,KZ,1600351398
Pisco,-13.7,-76.22,61.0,87,90,4.7,PE,1600351399
Ayan,56.45,138.17,51.15,70,100,11.81,RU,1600351401
Kavaratti,10.57,72.64,82.15,82,91,19.22,IN,1600351139
Ponta Delgada,37.73,-25.67,71.6,53,20,11.41,PT,1600351324
Sāveh,35.02,50.36,86.7,14,0,9.28,IR,1600351404
Buraidah,26.33,43.98,104.0,13,0,17.22,SA,1600351405
Homer,59.64,-151.55,55.99,93,90,11.52,US,1600351407
Fukuechō,32.69,128.84,76.78,91,100,4.05,JP,1600351408
Hirara,24.8,125.28,84.22,83,95,16.37,JP,1600351409
Tomra,62.58,6.93,55.99,58,100,3.36,NO,1600351412
Vitré,48.12,-1.21,84.99,35,0,17.22,FR,1600351413
Ilulissat,69.22,-51.1,35.6,91,75,9.17,GL,1600351415
Port Moresby,-9.44,147.18,78.8,88,20,6.93,PG,1600351126
